,volume
1994/12/30,129970200.00 
1995/1/27,63202100.00 
1995/2/28,73374600.00 
1995/3/31,168626700.00 
1995/4/28,142196300.00 
1995/5/31,135266000.00 
1995/6/30,215741700.00 
1995/7/31,212058300.00 
1995/8/31,276958500.00 
1995/9/29,221418100.00 
1995/10/31,346764400.00 
1995/11/30,128659746.00 
1995/12/29,118413616.00 
1996/1/31,238926963.00 
1996/2/16,245827021.00 
1996/3/29,124868122.00 
1996/4/30,1470344762.00 
1996/5/31,674974800.00 
1996/6/28,737090400.00 
1996/7/31,910882792.00 
1996/8/30,1509632678.00 
1996/9/27,1349548315.00 
1996/10/31,1702671700.00 
1996/11/29,1850648296.00 
1996/12/31,1116370534.00 
1997/1/31,1012077500.00 
1997/2/28,1437409700.00 
1997/3/31,1644640400.00 
1997/4/30,1546518000.00 
1997/5/30,708542000.00 
1997/6/27,1246090900.00 
1997/7/31,680858000.00 
1997/8/29,1241941100.00 
1997/9/30,339144500.00 
1997/10/31,949208800.00 
1997/11/28,444416800.00 
1997/12/31,648214100.00 
1998/1/23,589912500.00 
1998/2/27,559807900.00 
1998/3/31,940688400.00 
1998/4/30,1024322300.00 
1998/5/29,1412484400.00 
1998/6/30,508299700.00 
1998/7/31,557846100.00 
1998/8/31,661397100.00 
1998/9/30,658092100.00 
1998/10/30,859615800.00 
1998/11/30,485352300.00 
1998/12/31,309580000.00 
1999/1/29,585705400.00 
1999/2/9,375084500.00 
1999/3/31,577169000.00 
1999/4/30,607477800.00 
1999/5/31,2901877300.00 
1999/6/30,4300961400.00 
1999/7/30,1243947984.00 
1999/8/31,941277261.00 
1999/9/30,523131500.00 
1999/10/29,661590400.00 
1999/11/30,364587500.00 
1999/12/30,417511500.00 
2000/1/28,2478498500.00 
2000/2/29,3872108600.00 
2000/3/31,2988850652.93 
2000/4/28,1756496500.00 
2000/5/31,2365919600.00 
2000/6/30,2040422400.00 
2000/7/31,2185320200.00 
2000/8/31,2069458400.00 
2000/9/29,656974400.00 
2000/10/31,1141966600.00 
2000/11/30,1048046265.00 
2000/12/29,1082381615.00 
2001/1/19,1126565434.00 
2001/2/28,686148671.00 
2001/3/30,1348088120.00 
2001/4/30,821224600.00 
2001/5/31,1394842193.00 
2001/6/29,969139037.00 
2001/7/31,988667201.00 
2001/8/31,346854956.00 
2001/9/28,512377958.00 
2001/10/31,576104160.00 
2001/11/30,900033301.00 
2001/12/31,731484650.00 
2002/1/31,2729924274.00 
2002/2/28,1049012982.00 
2002/3/29,1723987707.00 
2002/4/30,1625023003.00 
2002/5/31,669352387.00 
2002/6/28,4185660799.00 
2002/7/31,830445919.00 
2002/8/30,598842825.00 
2002/9/27,648895277.00 
2002/10/31,589037076.00 
2002/11/29,2235628825.00 
2002/12/31,1018228581.00 
2003/1/29,1548873628.00 
2003/2/28,915034790.00 
2003/3/31,1656989500.00 
2003/4/30,2742458479.00 
2003/5/30,2577856444.00 
2003/6/30,888287302.00 
2003/7/31,836505702.00 
2003/8/29,870710053.00 
2003/9/30,842551403.00 
2003/10/31,1188615190.00 
2003/11/28,1610355216.00 
2003/12/31,2063308392.00 
2004/1/30,4142539261.00 
2004/2/27,3156805138.00 
2004/3/31,2547266376.00 
2004/4/30,1989429705.00 
2004/5/31,1046794560.00 
2004/6/30,1202330320.00 
2004/7/30,1397430775.00 
2004/8/31,1860173690.00 
2004/9/30,2063399468.00 
2004/10/29,2653530818.00 
2004/11/30,1503198621.00 
2004/12/31,1325532743.00 
2005/1/31,1462839548.00 
2005/2/28,2545207452.00 
2005/3/31,1479344041.00 
2005/4/29,2291267319.00 
2005/5/31,1553092465.00 
2005/6/30,2060152049.00 
2005/7/29,2880184876.00 
2005/8/31,3688766199.00 
2005/9/30,2354045459.00 
2005/10/31,2436959283.00 
2005/11/30,1918185397.00 
2005/12/30,2925362895.00 
2006/1/25,4046542494.00 
2006/2/28,3603372858.00 
2006/3/31,4361797878.00 
2006/4/28,7331151782.00 
2006/5/31,9367166807.00 
2006/6/30,7497914914.00 
2006/7/31,5390727483.00 
2006/8/31,5729041794.00 
2006/9/29,5911435755.00 
2006/10/31,6607136573.00 
2006/11/30,10878746686.00 
2006/12/29,12042758786.00 
2007/1/31,16030014814.00 
2007/2/28,18109353730.00 
2007/3/30,13262121558.00 
2007/4/30,21070036165.00 
2007/5/31,23946763109.00 
2007/6/29,12696580784.00 
2007/7/31,16072978990.00 
2007/8/31,15877761181.00 
2007/9/28,11152400277.00 
2007/10/31,10086703451.00 
2007/11/30,6044260983.00 
2007/12/28,11054204535.00 
2008/1/31,6376840715.00 
2008/2/29,7009645560.00 
2008/3/31,6767164103.00 
2008/4/30,15008757334.00 
2008/5/30,6907131704.00 
2008/6/30,5749521920.00 
2008/7/31,6942864711.00 
2008/8/29,6518936188.00 
2008/9/26,11213237470.00 
2008/10/31,5770544527.00 
2008/11/28,11325148574.00 
2008/12/31,7627522726.00 
2009/1/23,12942727280.00 
2009/2/27,18593067701.00 
2009/3/31,20849570838.00 
2009/4/30,19817873408.00 
2009/5/27,15652361091.00 
2009/6/30,18612917394.00 
2009/7/31,27812195465.00 
2009/8/31,16932771477.00 
2009/9/30,9903869608.00 
2009/10/30,16947265934.00 
2009/11/30,21320944172.00 
2009/12/31,16940090162.00 
2010/1/29,12947359948.00 
2010/2/26,16471987175.00 
2010/3/31,15930172859.00 
2010/4/30,14346402557.00 
2010/5/31,13138858387.00 
2010/6/30,9013198625.00 
2010/7/30,16078358683.00 
2010/8/31,19400307756.00 
2010/9/30,13907558224.00 
2010/10/29,23842639329.00 
2010/11/30,22514897244.00 
2010/12/31,13000682488.00 
2011/1/31,12554814061.00 
2011/2/28,18542067484.00 
2011/3/31,16388701586.00 
2011/4/29,12869640044.00 
2011/5/31,10614940209.00 
2011/6/30,14643072386.00 
2011/7/29,11872120150.00 
2011/8/31,9946552285.00 
2011/9/30,7618765328.00 
2011/10/31,14338299246.00 
2011/11/30,12707748609.00 
2011/12/30,8658094344.00 
2012/1/31,7989903294.00 
2012/2/29,16158719281.00 
2012/3/30,10465459578.00 
2012/4/27,14501197086.00 
2012/5/31,14089255328.00 
2012/6/29,10957439782.00 
2012/7/31,9161493533.00 
2012/8/31,8231243606.00 
2012/9/28,13137616262.00 
2012/10/31,10047833234.00 
2012/11/30,9299748147.00 
2012/12/31,20577742545.00 
2013/1/31,22722720099.00 
2013/2/28,21486350095.00 
2013/3/29,14131818593.00 
2013/4/26,14058847373.00 
2013/5/31,20929657848.00 
2013/6/28,17973503145.00 
2013/7/31,14179673476.00 
2013/8/30,29111683230.00 
2013/9/30,16701095445.00 
2013/10/31,19940657900.00 
2013/11/29,20752308338.00 
2013/12/31,15482814553.00 
2014/1/30,13419631277.00 
2014/2/28,21636627439.00 
2014/3/31,16041830069.00 
2014/4/30,12885047797.00 
2014/5/30,14815751638.00 
2014/6/30,20595565176.00 
2014/7/31,29733595123.00 
2014/8/29,19573454170.00 
2014/9/30,34211150083.00 
2014/10/31,50002355295.00 
2014/11/28,70239376744.00 
2014/12/31,56017488612.00 
2015/1/30,41302110176.00 
2015/2/27,48027736929.00 
2015/3/31,86828166195.00 
2015/4/30,80017096996.00 
2015/5/29,101982249525.00 
2015/6/30,110482604639.00 
2015/7/31,57908325172.00 
2015/8/31,66279763933.00 
2015/9/30,29570443149.00 
2015/10/30,53760628490.00 
2015/11/30,61944428018.00 
2015/12/31,39337680436.00 
2016/1/29,36055928991.00 
2016/2/29,40944257081.00 
2016/3/31,47014572030.00 
2016/4/29,24922858226.00 
2016/5/31,46969909667.00 
2016/6/30,37210748614.00 
2016/7/29,31478969888.00 
2016/8/31,31399371606.00 
2016/9/30,22888009763.00 
2016/10/31,31552330835.00 
2016/11/30,43369722019.00 
2016/12/30,26390290660.00 
2017/1/26,21717067570.00 
2017/2/28,30596583489.00 
2017/3/31,35301930064.00 
2017/4/28,32686097146.00 
2017/5/31,30923638381.00 
2017/6/30,26358579947.00 
2017/7/31,48185777788.00 
2017/8/31,42749304869.00 
2017/9/29,32518718127.00 
2017/10/31,30875794899.00 
2017/11/30,30614078465.00 
2017/12/29,28105423269.00 
2018/1/31,40132150538.00 
2018/2/28,33718059412.00 
2018/3/30,36339705807.00 
2018/4/27,29400767277.00 
2018/5/31,31306372973.00 
2018/6/29,30679545360.00 
2018/7/31,26534050495.00 
2018/8/31,24830374151.00 
2018/9/28,28935787836.00 
2018/10/31,37457863838.00 
2018/11/30,32783980518.00 
2018/12/28,27478879817.00 
2019/1/31,36013848397.00 
2019/2/28,77083888708.00 
2019/3/29,80978351247.00 
2019/4/30,48569315229.00 
2019/5/31,44373451184.00 
2019/6/28,42078517643.00 
2019/7/31,32597456357.00 
2019/8/30,50618529871.00 
2019/9/30,30087502506.00 
2019/10/31,40491422817.00 
2019/11/29,30673168317.00 
2019/12/31,49969865514.00 
