,B/M
1996-01-01,0.5768456105609329
1996-02-01,0.5577139321312305
1996-03-01,0.5419492702941365
1996-04-01,0.4363422782759821
1996-05-01,0.4376114646521501
1996-06-01,0.343843684273623
1996-07-01,0.29505495659576353
1996-08-01,0.28661707231546396
1996-09-01,0.2612289404425059
1996-10-01,0.23601698351989187
1996-11-01,0.20995360983535902
1996-12-01,0.24341965813285255
1997-01-01,0.22102474589517837
1997-02-01,0.20465415129273093
1997-03-01,0.17052436802276547
1997-04-01,0.19004000878244637
1997-05-01,0.19879121348224266
1997-06-01,0.18384330829769396
1997-07-01,0.1879317742751594
1997-08-01,0.1868983392489086
1997-09-01,0.2069016259331536
1997-10-01,0.23829164200810193
1997-11-01,0.24161830520294483
1997-12-01,0.22927949226781447
1998-01-01,0.2204891923160537
1998-02-01,0.22251456438124279
1998-03-01,0.21559650917867476
1998-04-01,0.2342617861508061
1998-05-01,0.21768108561263763
1998-06-01,0.22818829344928532
1998-07-01,0.22845907836788035
1998-08-01,0.2590526897219354
1998-09-01,0.2374419416385899
1998-10-01,0.2788827715858309
1998-11-01,0.27025356250512
1998-12-01,0.2908500136551129
1999-01-01,0.291593192491479
1999-02-01,0.30392713713027303
1999-03-01,0.2820718265562952
1999-04-01,0.3241462503855273
1999-05-01,0.2879022681603658
1999-06-01,0.21228158997397964
1999-07-01,0.219699553798038
1999-08-01,0.21429471750518053
1999-09-01,0.21789391804466593
1999-10-01,0.25305236673687703
1999-11-01,0.25489145581944517
1999-12-01,0.26631455409939114
2000-01-01,0.23176242043828657
2000-02-01,0.20681804014082242
2000-03-01,0.19245065818326465
2000-04-01,0.20861601121319442
2000-05-01,0.20052993798397617
2000-06-01,0.19229028486201186
2000-07-01,0.17968484532035683
2000-08-01,0.17966222695944456
2000-09-01,0.18696461537350134
2000-10-01,0.2053652019371044
2000-11-01,0.19228154838276604
2000-12-01,0.1846063086776872
2001-01-01,0.18298794217850434
2001-02-01,0.19189810835535207
2001-03-01,0.17687817986902465
2001-04-01,0.20789163972073874
2001-05-01,0.20015023008036228
2001-06-01,0.19768200904991923
2001-07-01,0.22780976737044314
2001-08-01,0.21969520542000237
2001-09-01,0.23025485043350175
2001-10-01,0.27226889521961556
2001-11-01,0.2623599770839731
2001-12-01,0.2742215029435291
2002-01-01,0.30420294778694335
2002-02-01,0.29535656876923083
2002-03-01,0.2762452533053507
2002-04-01,0.30562012553608103
2002-05-01,0.33504545436019173
2002-06-01,0.292696148452638
2002-07-01,0.31636828458764077
2002-08-01,0.31127888210824534
2002-09-01,0.32729440695911094
2002-10-01,0.3565340849921007
2002-11-01,0.37720817332401146
2002-12-01,0.3964367747858353
2003-01-01,0.3703146943303606
2003-02-01,0.3665686043322761
2003-03-01,0.36898520678701147
2003-04-01,0.3769939346053472
2003-05-01,0.36454753653928595
2003-06-01,0.38841446903279475
2003-07-01,0.4037648313966111
2003-08-01,0.4154084067570565
2003-09-01,0.4288953237809736
2003-10-01,0.4502528201610977
2003-11-01,0.43223964171148477
2003-12-01,0.40697281921717915
2004-01-01,0.3992930792634458
2004-02-01,0.37505272230063186
2004-03-01,0.3594377003032002
2004-04-01,0.4102033368333855
2004-05-01,0.4219852797926805
2004-06-01,0.4668048384328714
2004-07-01,0.4887153054223397
2004-08-01,0.50574393752085
2004-09-01,0.4819427017166801
2004-10-01,0.5227268997896125
2004-11-01,0.5123325416127451
2004-12-01,0.5444911806254402
2005-01-01,0.6034246505490065
2005-02-01,0.5476243592381628
2005-03-01,0.6068223919489861
2005-04-01,0.6304438289597021
2005-05-01,0.6823742544959397
2005-06-01,0.6744046937421193
2005-07-01,0.7016158705344048
2005-08-01,0.6589360842035286
2005-09-01,0.6592006339913258
2005-10-01,0.7142213373923387
2005-11-01,0.719325158018697
2005-12-01,0.6925581526044311
2006-01-01,0.6660137247064658
2006-02-01,0.6518149708291278
2006-03-01,0.6828559380066921
2006-04-01,0.6196656505432581
2006-05-01,0.5428981729731274
2006-06-01,0.5254563193865327
2006-07-01,0.5025110237280231
2006-08-01,0.4820944364032911
2006-09-01,0.4539655373959892
2006-10-01,0.380850372431797
2006-11-01,0.33275528842361723
2006-12-01,0.2627091698622604
2007-01-01,0.28001526918335673
2007-02-01,0.26220247906805993
2007-03-01,0.23029460973808594
2007-04-01,0.23300524801853137
2007-05-01,0.21263701630558718
2007-06-01,0.22697296865604205
2007-07-01,0.20781734204765623
2007-08-01,0.178396807279411
2007-09-01,0.16350930168428982
2007-10-01,0.16391078268188045
2007-11-01,0.1578329179195725
2007-12-01,0.13947054937526465
2008-01-01,0.19398486613136268
2008-02-01,0.1926245166806633
2008-03-01,0.23975188499305541
2008-04-01,0.2867549807727872
2008-05-01,0.3065226538084705
2008-06-01,0.38862796759083656
2008-07-01,0.4019775076750202
2008-08-01,0.4720068312717825
2008-09-01,0.49568413769037234
2008-10-01,0.6685389099856035
2008-11-01,0.6078604072661934
2008-12-01,0.6025983355475911
2009-01-01,0.5719088269503982
2009-02-01,0.5406428009067071
2009-03-01,0.4688600289912559
2009-04-01,0.4608251713588533
2009-05-01,0.4305702342058879
2009-06-01,0.3840414870692337
2009-07-01,0.33957679368221805
2009-08-01,0.4282886937445108
2009-09-01,0.40657255584990387
2009-10-01,0.3778701703004428
2009-11-01,0.34632951640938936
2009-12-01,0.33450175023982276
2010-01-01,0.3852791625714262
2010-02-01,0.36875509495302816
2010-03-01,0.35757251282314967
2010-04-01,0.4141901734218654
2010-05-01,0.45210406880520476
2010-06-01,0.4875466218235519
2010-07-01,0.45382926606919055
2010-08-01,0.43829658417329453
2010-09-01,0.4263026904467002
2010-10-01,0.3876341690058785
2010-11-01,0.397721592423242
2010-12-01,0.39596250246198944
2011-01-01,0.45263271795399107
2011-02-01,0.42690942425705586
2011-03-01,0.4295871465529341
2011-04-01,0.4646872315392273
2011-05-01,0.4941788611183585
2011-06-01,0.4832933957707198
2011-07-01,0.5153068393191924
2011-08-01,0.5345441413923475
2011-09-01,0.5861537184165598
2011-10-01,0.5737284555902346
2011-11-01,0.603447847794332
2011-12-01,0.648149980544991
2012-01-01,0.6587443128438761
2012-02-01,0.6101031278142338
2012-03-01,0.6487968362364027
2012-04-01,0.6422079796405529
2012-05-01,0.6402275044351717
2012-06-01,0.6791807535404369
2012-07-01,0.7600813807086437
2012-08-01,0.7769398983482874
2012-09-01,0.7605787339591819
2012-10-01,0.7756039287106731
2012-11-01,0.8244561829173561
2012-12-01,0.713912476838168
2013-01-01,0.7015384572146047
2013-02-01,0.6994122133008469
2013-03-01,0.7377181680071366
2013-04-01,0.7858084312732039
2013-05-01,0.7282849347467013
2013-06-01,0.8587097670578048
2013-07-01,0.8740486096477248
2013-08-01,0.8256448107613668
2013-09-01,0.792455862994967
2013-10-01,0.8079746681800687
2013-11-01,0.7748465481820734
2013-12-01,0.7996438880109029
2014-01-01,0.8444480151303807
2014-02-01,0.8302187042491883
2014-03-01,0.8470270901150595
2014-04-01,0.8791259155532979
2014-05-01,0.8725899939058217
2014-06-01,0.8627308968571846
2014-07-01,0.8363471814803263
2014-08-01,0.817497609179562
2014-09-01,0.7477335242873878
2014-10-01,0.7484215523163738
2014-11-01,0.680172792216456
2014-12-01,0.5808952522801478
2015-01-01,0.5940452415565146
2015-02-01,0.5705825757158478
2015-03-01,0.48589177953522944
2015-04-01,0.4347810093415022
2015-05-01,0.39848349213972256
2015-06-01,0.4319009147140681
2015-07-01,0.5579786341482202
2015-08-01,0.6529902669705534
2015-09-01,0.6910415168276252
2015-10-01,0.6194992615205931
2015-11-01,0.578164805170308
2015-12-01,0.531423368166393
2016-01-01,0.7327273128280553
2016-02-01,0.746432071105559
2016-03-01,0.6517044061410528
2016-04-01,0.695237040173573
2016-05-01,0.6933028290573252
2016-06-01,0.6715062860504903
2016-07-01,0.6806546269711246
2016-08-01,0.6472897591736556
2016-09-01,0.654053292957581
2016-10-01,0.6400655751803669
2016-11-01,0.6064630711911116
2016-12-01,0.6304479035757685
2017-01-01,0.6526614672529232
2017-02-01,0.629761844900813
2017-03-01,0.6268423199378956
2017-04-01,0.674591395897039
2017-05-01,0.6941319389653746
2017-06-01,0.6692191942910926
2017-07-01,0.6879200315551435
2017-08-01,0.6654946061493598
2017-09-01,0.6477593885369474
2017-10-01,0.6431796722942565
2017-11-01,0.6557876075495881
2017-12-01,0.6513389195131878
2018-01-01,0.6532092989571398
2018-02-01,0.6877628216135302
2018-03-01,0.7016089337008109
2018-04-01,0.7558767206957872
2018-05-01,0.7486903171348753
2018-06-01,0.8099452313138347
2018-07-01,0.8326576467471007
2018-08-01,0.8727616644726653
2018-09-01,0.8442419214880377
2018-10-01,0.9359803666100397
2018-11-01,0.9125906687341789
2018-12-01,0.9471617087649222
2019-01-01,0.9461555372435927
2019-02-01,0.8148309501050669
2019-03-01,0.762052181719882
2019-04-01,0.7918806236293099
2019-05-01,0.8420964637807096
2019-06-01,0.8202472015866384
2019-07-01,0.857349681981506
2019-08-01,0.8611269024578078
2019-09-01,0.8534420028623794
2019-10-01,0.8519072578717217
2019-11-01,0.8639843994206857
2019-12-01,0.7984124045885838
