,Numdiv
12,10161086695.699999
13,10161086695.699999
14,10130908295.699999
15,9675424546.4
16,7551111912.4
17,8298441115.4
18,9421265660.4
19,9404397002.4
20,8936038813.9
21,8649460618.1
22,8487221276.8
23,8250071598.2
24,8222621598.2
25,8222621598.2
26,8281121598.2
27,8309372374.0
28,8643675185.8
29,7640419337.799999
30,8371064930.799999
31,7905276602.299999
32,7599723839.299999
33,7574674439.599999
34,7706340905.299999
35,7638440625.299999
36,7650150648.98
37,7652730648.98
38,7594230648.98
39,7755977751.679999
40,7865921836.479999
41,9218375571.48
42,9277474945.48
43,11392051200.98
44,11614068003.179998
45,11709537265.08
46,12045942562.48
47,12088322562.48
48,12242446867.0
49,12239866867.0
50,12259579842.2
51,12199554514.900002
52,12177298683.7
53,14016094932.7
54,15281280237.7
55,15148552461.7
56,15426522913.1
57,16387704545.9
58,16091713798.199999
59,16063492318.199999
60,15897657989.999998
61,15925353989.999998
62,16009530175.999998
63,16701328448.299997
64,17748556545.899994
65,19583794086.899994
66,20767798124.899994
67,21004940857.899994
68,20681762333.199993
69,19861057373.29999
70,19968910008.09999
71,20137005488.09999
72,20137005488.09999
73,20114850758.09999
74,20275524554.89999
75,21305529670.39999
76,26587471753.39999
77,32919201832.399994
78,34929345065.399994
79,34998141835.399994
80,35304602391.899994
81,35483246502.799995
82,35790187253.799995
83,35851920439.7
84,35851920439.7
85,35874351708.689995
86,35817019960.99
87,35312390402.99
88,33629804299.989998
89,35521721905.99
90,37047725887.99
91,44121215239.99
92,45560864289.39
93,45239017709.49
94,44774306763.79
95,44564255342.69
96,44564255342.69
97,44536282803.700005
98,44625186833.5
99,45775636318.5
100,45462717621.5
101,54900983203.5
102,54107489915.5
103,46678600827.5
104,48462009817.5
105,48632681527.700005
106,49726417430.200005
107,49884241067.4
108,49942710776.4
109,50031124616.4
110,50452835373.3
111,52805709094.3
112,57404149563.3
113,59020318614.3
114,60286358664.3
115,60483344836.3
116,60320396119.3
117,60657151602.7
118,60018809882.7
119,59953083205.1
120,59894613496.1
121,59806199656.1
122,59200988665.9
123,60025631248.9
124,63207773276.899994
125,73536304906.9
126,77151894091.9
127,80665393354.9
128,80908730866.9
129,80538397607.2
130,80824234866.09999
131,80723202141.7
132,81208413463.4
133,81761112095.2
134,82342829720.4
135,82293834806.4
136,84841583276.4
137,84806143244.4
138,86012118205.4
139,83123835286.4
140,85086619286.4
141,85127106846.5
142,84549869184.8
143,85011306328.40001
144,84526095006.70001
145,84023175518.8
146,84029857637.3
147,83406973491.3
148,79706997073.3
149,101820346476.29999
150,128128103416.29999
151,130856942926.29999
152,130955605948.29999
153,132701418586.19998
154,132407439566.99998
155,131921002423.39998
156,131929074343.39998
157,132027059499.49998
158,132582975252.99998
159,138630402965.0
160,155689074182.0
161,248440557983.0
162,274676926969.0
163,276731916308.0
164,274180476656.0
165,303279710727.0
166,329349577494.0
167,330521288553.0
168,330513216633.0
169,330365452333.0
170,329277319979.9
171,324596903403.9
172,314728074985.9
173,322818074985.9
174,334169929617.9
175,332663651559.9
176,331226879252.9
177,335955179924.9
178,309952973297.0
179,308921413479.9
180,308929808979.9
181,308929808979.9
182,310908016942.0
183,315310284139.0
184,328785321440.0
185,336928321440.0
186,392548558816.0
187,390297345370.0
188,403016283313.0
189,397270187305.0
190,397260885124.0
191,397965558184.3
192,398025367489.52997
193,398748540194.43
194,398461137089.43
195,402811903102.43
196,404132562579.43
197,442510562579.42993
198,492354562579.42993
199,496132096441.42993
200,494506233783.42993
201,496292953528.42993
202,498773480341.32996
203,499898606929.12994
204,499830402123.89996
205,499420835178.99994
206,499943688513.99994
207,498043428336.99994
208,505931542242.99994
209,444194542243.0
210,589124542243.0
211,606332723842.0
212,608623534632.0
213,608282080712.0
214,607104627849.0
215,606093364158.0
216,606553719505.3
217,606240113745.3
218,607244805410.3
219,602621452243.3
220,609644537714.3
221,590768537714.3
222,683913537714.3
223,680157155104.3
224,682015476475.3
225,681912502871.3
226,681219999578.7001
227,680800596832.1001
228,680395928288.55
229,680993605075.75
230,679440783238.75
231,687026356389.75
232,693049071338.75
233,874476071338.75
234,763380071338.75
235,760749644168.75
236,796277395246.75
237,766120802737.75
238,766811110300.35
239,767261720307.75
240,769344873025.0
241,768747196237.8
242,768092672217.8
243,781399666830.8
244,795902793371.8
245,682860793371.8
246,802205793371.8
247,799414597435.8
248,777037162853.8
249,783298280686.8
250,785221678120.8
251,788101724661.0
252,786348867147.9
253,788565249848.9
254,789503741905.9
255,780829504473.9
256,781420012359.9
257,893541012359.9
258,806778012359.8999
259,833498448866.8999
260,831349916288.8999
261,825799278122.8999
262,826712757968.8999
263,826310902167.8999
264,825939536011.5199
265,823784268310.5199
266,827157948592.5199
267,827953185027.5199
268,846649679665.5199
269,831850679665.52
270,953992679665.52
271,964471953156.52
272,977775737776.52
273,978835380165.52
274,976154062312.52
275,974262554941.52
276,978857755080.0
277,979130472512.7
278,976818104702.7
279,975171272406.7
280,1057363690233.7
281,1096440690233.7
282,1109525690233.7
283,1122445078400.7
284,1135442572896.7
285,1141652031905.7
286,1144203480216.7
287,1149220292638.7
288,1145388588965.3
289,1148664195059.6
290,1148471824812.6
291,1159991291543.6
292,1156976291543.6
293,1236196291543.6
294,1228872291543.6
295,1235007748624.6
296,1229864366709.6
297,1226643958148.6
298,1228582487663.6
299,1226071741116.6
